symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
ETHUSDT,2025-03-15 20:08:40.875,1946.3,10.6504,1946.31,60.9919
XRPUSDT,2025-03-15 19:03:15.840,2.4015,10322.0,2.4016,4591.0
XRPUSDT,2025-03-16 00:40:06.101,2.3965,640.0,2.3966,13401.0
BTCUSDT,2025-03-16 06:52:29.578,84277.2,2.68402,84277.21,2.05721
ETHUSDT,2025-03-15 18:59:14.627,1933.73,11.1951,1933.74,42.1199
LTCUSDT,2025-03-15 19:28:24.282,92.86,1.569,92.87,123.248
BTCUSDT,2025-03-15 22:52:46.608,84354.96,1.19589,84354.97,1.28318
ETHUSDT,2025-03-16 00:13:50.161,1939.89,25.7968,1939.9,37.5634
LTCUSDT,2025-03-16 00:33:02.794,92.51,44.368,92.52,27.019
LTCUSDT,2025-03-15 23:30:08.303,92.42,254.955,92.43,33.129
BNBUSDT,2025-03-16 04:33:48.980,607.35,2.972,607.36,21.368
ETHUSDT,2025-03-15 23:56:31.813,1939.19,11.5184,1939.2,27.4995
ETHUSDT,2025-03-15 20:17:44.507,1946.41,45.7026,1946.42,1.8119
XRPUSDT,2025-03-16 03:11:04.025,2.3725,7194.0,2.3726,15630.0
ETHUSDT,2025-03-15 20:12:42.963,1947.7,65.3724,1947.71,44.8419
LTCUSDT,2025-03-16 02:58:59.406,91.51,80.617,91.52,104.415
BTCUSDT,2025-03-16 04:05:37.223,84352.21,1.3478,84352.22,2.50946
BTCUSDT,2025-03-15 23:34:24.678,84273.69,1.32158,84273.7,2.76367
LTCUSDT,2025-03-15 21:15:05.886,93.16,22.058,93.17,33.845
BTCUSDT,2025-03-15 19:20:22.281,84232.83,3.875,84232.84,2.13881
BTCUSDT,2025-03-16 04:12:39.630,84391.41,4.30464,84391.42,1.36827
ETHUSDT,2025-03-15 20:48:33.969,1944.35,13.5125,1944.36,48.5957
BTCUSDT,2025-03-16 07:13:35.384,83995.21,7.03047,83995.22,0.05735
BNBUSDT,2025-03-16 01:21:20.216,615.47,0.134,615.48,33.017
ETHUSDT,2025-03-15 22:19:23.384,1947.19,30.8298,1947.2,18.8781
ETHUSDT,2025-03-15 21:24:09.488,1940.59,24.0115,1940.6,11.8928
ETHUSDT,2025-03-16 01:45:38.786,1924.31,106.5631,1924.32,0.7771
ETHUSDT,2025-03-16 01:18:19.507,1930.75,43.0319,1930.76,18.0742
ETHUSDT,2025-03-16 00:20:52.488,1937.34,46.3184,1937.35,8.7389
BNBUSDT,2025-03-15 19:28:24.279,611.66,1.223,611.67,21.195
LTCUSDT,2025-03-16 01:53:40.932,91.89,84.367,91.9,22.75
XRPUSDT,2025-03-15 19:33:26.212,2.4009,36296.0,2.401,1307.0
BTCUSDT,2025-03-15 19:17:21.537,84213.83,0.24595,84213.84,10.02607
ETHUSDT,2025-03-15 19:26:23.692,1933.55,78.6524,1933.56,4.5387
BTCUSDT,2025-03-15 23:23:56.040,84326.12,2.83591,84326.13,1.57952
BTCUSDT,2025-03-16 05:19:03.954,84387.11,3.06398,84387.12,2.10198
BNBUSDT,2025-03-16 02:06:44.241,613.07,8.719,613.08,21.819
ETHUSDT,2025-03-16 03:06:01.276,1925.2,13.8353,1925.21,47.8634
BNBUSDT,2025-03-16 02:26:49.397,612.42,15.516,612.43,20.517
BNBUSDT,2025-03-15 19:21:22.561,612.81,10.965,612.82,2.142
BTCUSDT,2025-03-16 06:51:29.369,84277.22,2.91972,84277.23,4.79341
BTCUSDT,2025-03-16 00:36:03.499,84243.5,0.47612,84243.51,5.39267
XRPUSDT,2025-03-15 23:52:28.891,2.3912,158.0,2.3913,28469.0
BNBUSDT,2025-03-16 03:32:25.402,610.8,1.372,610.81,40.011
XRPUSDT,2025-03-16 01:02:13.946,2.4054,3193.0,2.4055,7182.0
XRPUSDT,2025-03-15 21:45:39.045,2.4139,4455.0,2.414,39.0
LTCUSDT,2025-03-16 03:08:01.752,91.77,177.739,91.78,0.45
ETHUSDT,2025-03-15 19:00:15.153,1932.84,10.2206,1932.85,71.4084
BTCUSDT,2025-03-16 02:03:43.516,83933.73,0.00076,83933.74,2.88897
BNBUSDT,2025-03-15 21:21:08.768,617.49,20.924,617.5,0.828
BTCUSDT,2025-03-16 06:05:16.736,84366.48,1.38164,84366.49,2.34995
BNBUSDT,2025-03-15 22:14:22.242,617.5,3.973,617.51,11.67
ETHUSDT,2025-03-15 19:59:03.726,1937.05,66.9874,1937.06,22.5541
LTCUSDT,2025-03-15 20:27:00.884,93.26,2.462,93.27,129.894
BNBUSDT,2025-03-16 05:53:12.212,608.49,11.291,608.5,47.32
XRPUSDT,2025-03-16 07:02:32.263,2.3851,24552.0,2.3852,23.0
LTCUSDT,2025-03-16 04:22:45.852,92.41,56.59,92.42,89.471
XRPUSDT,2025-03-16 01:00:13.441,2.405,4260.0,2.4051,32527.0
BNBUSDT,2025-03-15 23:30:08.301,618.32,0.166,618.33,26.647
BTCUSDT,2025-03-15 22:25:24.797,84385.27,0.99654,84385.28,3.79377
BTCUSDT,2025-03-16 01:02:13.939,84253.53,2.31876,84253.54,2.48441
LTCUSDT,2025-03-16 00:18:52.003,92.25,122.665,92.26,0.837
LTCUSDT,2025-03-15 21:59:43.339,93.41,31.01,93.42,38.813
BTCUSDT,2025-03-16 02:52:58.027,84055.32,4.80658,84055.33,1.90313
BNBUSDT,2025-03-15 19:02:15.633,611.42,27.234,611.43,1.334
XRPUSDT,2025-03-16 04:41:53.566,2.3882,1694.0,2.3883,10728.0
BTCUSDT,2025-03-15 22:32:26.400,84432.31,0.84199,84432.32,5.72423
ETHUSDT,2025-03-16 02:54:58.483,1923.04,8.5954,1923.05,109.8297
ETHUSDT,2025-03-15 20:14:43.431,1945.19,29.7636,1945.2,19.2107
LTCUSDT,2025-03-16 01:41:37.860,92.05,5.496,92.06,59.098
XRPUSDT,2025-03-16 03:21:06.389,2.3769,6913.0,2.377,8304.0
