 symbol               timestamp   mid_price  spread  volume_imbalance  rolling_volatility  true_label  pred_log  pred_kernel  pred_deep
BTCUSDT 2025-03-16 01:39:37.362 83968.88500  0.0100         -0.421129          117.470003           0         0            0          0
LTCUSDT 2025-03-15 21:59:43.339    93.41500  0.0100         -0.111754            0.059824          -1         0            0          0
XRPUSDT 2025-03-16 01:28:31.813     2.40245  0.0001          0.590830            0.001673          -1         0            0          1
LTCUSDT 2025-03-15 23:16:54.435    92.76500  0.0100         -0.100175            0.080966          -1         0            0          0
XRPUSDT 2025-03-15 22:03:58.723     2.41475  0.0001          0.483105            0.001509          -1         0            0          1
LTCUSDT 2025-03-16 02:20:47.982    91.28500  0.0100          0.931264            0.089100           1         0            0          0
BNBUSDT 2025-03-16 07:37:42.529   606.44500  0.0100          0.267425            0.180262           0         0            0          0
ETHUSDT 2025-03-15 23:06:51.810  1944.03500  0.0100          0.001448            0.477918          -1         0            0          0
ETHUSDT 2025-03-16 03:35:26.107  1928.71500  0.0100         -0.993358            0.496755           0         0            0          0
BNBUSDT 2025-03-15 22:30:25.900   617.31500  0.0100         -0.203137            0.223709           0         0            0          0
BNBUSDT 2025-03-16 06:48:28.404   607.72500  0.0100         -0.422861            0.121056           1         0            0          0
BTCUSDT 2025-03-16 00:16:50.882 84323.92500  0.0100          0.484662           23.445034           0         0            0          0
LTCUSDT 2025-03-16 04:02:36.439    92.25500  0.0100          0.391493            0.037253           1         0            0          0
BTCUSDT 2025-03-15 21:15:05.880 84272.72500  0.0100          0.416498           53.249162           0         0            0          0
BTCUSDT 2025-03-16 06:45:27.639 84285.93500  0.0100         -0.592659           14.407931           0         0            0          0
LTCUSDT 2025-03-16 04:31:48.483    92.31500  0.0100         -0.161951            0.047900           0         0            0          0
BTCUSDT 2025-03-16 04:00:35.992 84320.26500  0.0100          0.248078           33.902020           0         0            0          0
BNBUSDT 2025-03-16 01:32:32.707   614.51500  0.0100         -0.016807            0.362804          -1         0            0          0
XRPUSDT 2025-03-16 03:18:05.720     2.37695  0.0001         -0.018792            0.001968           1         0            0          1
XRPUSDT 2025-03-16 06:40:26.188     2.39395  0.0001         -0.886556            0.001771           0         0            0         -1
ETHUSDT 2025-03-15 22:47:44.620  1941.20500  0.0100         -0.686941            1.062835           1         0            0          0
ETHUSDT 2025-03-15 21:56:42.633  1951.55500  0.0100         -0.022437            1.515551           1         0            0          0
BNBUSDT 2025-03-15 22:32:26.403   617.61500  0.0100         -0.159861            0.294701           0         0            0          0
XRPUSDT 2025-03-16 00:12:49.953     2.38405  0.0001         -0.364249            0.002484           0         0            0          1
ETHUSDT 2025-03-16 03:46:29.458  1927.55500  0.0100         -0.405190            0.800517           0         0            0          0
BNBUSDT 2025-03-15 22:41:43.128   617.28500  0.0100          0.998421            0.510842          -1         0            0          0
ETHUSDT 2025-03-16 07:43:43.968  1928.02500  0.0100          0.577342            1.494724           0         0            0          0
BNBUSDT 2025-03-15 20:14:43.432   613.29500  0.0100          0.921645            0.905331           0         0            0          0
XRPUSDT 2025-03-15 20:17:44.510     2.40875  0.0001          0.998434            0.001056           1         1            0          1
XRPUSDT 2025-03-16 03:41:28.255     2.38375  0.0001          0.900855            0.001572          -1         1            0          1
